,Compound,Date,Negative,Neutral,Positive,Source,Text
76,0.0,2018-03-26 22:26:04,1.0,0.0,0.0,FoxNews,Cat returns home two days after owners bury its 'remains' https://t.co/5aYPrD5J0y
255,-0.296,2018-03-26 22:30:12,0.845,0.155,0.0,CNN,"Florida Gov. Rick Scott teases a ""big announcement"" amid Florida Senate speculation https://t.co/fkk3XdKrWa https://t.co/1gb5TKx6qT"
254,0.5994,2018-03-26 22:31:16,0.811,0.0,0.189,CNN,"RT @CNNMoney: ""It's easy to take for granted all of these gifts Mother Nature gives us."" Director Darren Aronofsky and producer Ari Handel…"
190,-0.1531,2018-03-26 22:32:03,0.708,0.179,0.113,nytimes,"“This is a deplorable way to treat a veteran who risked his life in combat for our nation,” Senator Tammy Duckworth… https://t.co/GNFXVeadzt"
90,-0.1531,2018-03-26 22:32:03,0.708,0.179,0.113,nytimes,"“This is a deplorable way to treat a veteran who risked his life in combat for our nation,” Senator Tammy Duckworth… https://t.co/GNFXVeadzt"
253,0.0,2018-03-26 22:32:24,1.0,0.0,0.0,CNN,"Cambridge Analytica sent non-US citizens to work on American campaigns during the 2014 midterm election cycle, a fo… https://t.co/SUkg3i2FWc"
175,-0.4767,2018-03-26 22:34:00,0.763,0.237,0.0,FoxNews,"Stoneman Douglas memorial site robbed of teddy bears, mementos; 2 arrested https://t.co/8w9BgNFxrw"
75,-0.4767,2018-03-26 22:34:00,0.763,0.237,0.0,FoxNews,"Stoneman Douglas memorial site robbed of teddy bears, mementos; 2 arrested https://t.co/8w9BgNFxrw"
252,0.4939,2018-03-26 22:40:57,0.789,0.0,0.211,CNN,Harry Potter inspired the Parkland generation | By Rachel Sklar via @CNNOpinion https://t.co/ZUO9Nkl3Wu https://t.co/7bWW4yIncy
251,0.4767,2018-03-26 22:41:27,0.866,0.0,0.134,CNN,"President Trump's approval rating rose to 42% in a new CNN poll, its highest level since the 100-day mark of Trump'… https://t.co/jAaIkC2jnz"
174,0.4939,2018-03-26 22:42:00,0.849,0.0,0.151,FoxNews,John Sununu: “The president is…trying to reduce trade imbalance by a hundred billion dollars. If he succeeds in tha… https://t.co/9187qaBgvz
74,0.4939,2018-03-26 22:42:00,0.849,0.0,0.151,FoxNews,John Sununu: “The president is…trying to reduce trade imbalance by a hundred billion dollars. If he succeeds in tha… https://t.co/9187qaBgvz
189,0.0,2018-03-26 22:45:06,1.0,0.0,0.0,nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/FmmZKTkugK
89,0.0,2018-03-26 22:45:06,1.0,0.0,0.0,nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/FmmZKTkugK
250,0.0,2018-03-26 22:45:07,1.0,0.0,0.0,CNN,Mystery train carries rumors about a Kim Jong Un visit to China https://t.co/LzOjWoxf0r https://t.co/afC1hRZxie
173,0.3818,2018-03-26 22:50:01,0.843,0.0,0.157,FoxNews,".@MZHemingway: “Objectively speaking, [President Trump’s] been stronger than either of his two predecessors against… https://t.co/gRptNTfiHj"
73,0.3818,2018-03-26 22:50:01,0.843,0.0,0.157,FoxNews,".@MZHemingway: “Objectively speaking, [President Trump’s] been stronger than either of his two predecessors against… https://t.co/gRptNTfiHj"
249,0.0,2018-03-26 22:55:04,1.0,0.0,0.0,CNN,"Do you have a right to know who's watching you on the internet, and how? This privacy activist is on a mission to g… https://t.co/8jfIHVbau2"
72,-0.3612,2018-03-26 22:56:05,0.839,0.161,0.0,FoxNews,"BREAKING: Multiple suspicious packages containing explosive material sent to DC-area military installations, neutra… https://t.co/jkwoVZgdnX"
172,-0.3612,2018-03-26 22:56:05,0.839,0.161,0.0,FoxNews,"BREAKING: Multiple suspicious packages containing explosive material sent to DC-area military installations, neutra… https://t.co/jkwoVZgdnX"
248,-0.9062,2018-03-26 23:00:28,0.383,0.617,0.0,CNN,"""The Terror"" finds icy horror in doomed voyage https://t.co/7AhoP75z49 https://t.co/JOO4f5SDAU"
188,0.0,2018-03-26 23:02:04,1.0,0.0,0.0,nytimes,Planning a trip to Memphis? Here's what you should bring. https://t.co/mXqFo0yzG6
88,0.0,2018-03-26 23:02:04,1.0,0.0,0.0,nytimes,Planning a trip to Memphis? Here's what you should bring. https://t.co/mXqFo0yzG6
